Time,State1,State2,State3
267,3.080443,3.49622,2.921293
268,3.074969,3.50117,2.90287
269,3.069789,3.533133,2.920645
270,3.081548,3.542684,2.932571
271,3.082961,3.54546,2.909775
272,3.071823,3.530864,2.912262
273,3.070814,3.52354,2.938519
274,3.070814,3.52354,2.938519
275,3.046679,3.512052,2.947387
276,3.022369,3.526122,2.962917
277,3.022062,3.503701,2.943017
278,3.020427,3.475874,2.961798
279,3.027763,3.465258,2.92676
280,3.009059,3.437988,2.936201
281,3.005425,3.426885,2.90594
282,2.991629,3.419003,2.924752
283,2.972429,3.430782,2.846081
284,2.972429,3.430782,2.846081
285,2.966196,3.427983,2.860118
286,2.973974,3.450899,2.863365
287,2.99403,3.457637,2.924798
288,2.99534,3.444767,2.926538
289,2.983396,3.439586,2.960038
290,2.980613,3.441488,2.935544
291,2.982623,3.420175,2.916629
292,2.982623,3.420175,2.916629
293,3.00996,3.458266,2.932369
294,2.990132,3.469824,2.933919
295,2.959458,3.455503,2.923882
296,2.959458,3.455503,2.923882
297,2.971925,3.475137,2.941998
298,2.988633,3.467764,2.914981
299,2.988633,3.467764,2.914981
300,2.988633,3.467764,2.914981
301,3.034069,3.490804,2.895076
302,3.05714,3.469876,2.942271
303,3.048629,3.468576,2.906553
304,3.048629,3.468576,2.906553
305,3.065283,3.467265,2.939538
306,3.052203,3.470574,2.950612
307,3.040792,3.471027,2.994313
308,3.04878,3.490007,2.914002
309,3.036443,3.486846,2.959828
310,3.049232,3.487356,2.944795
311,3.049232,3.487356,2.944795
312,3.053895,3.49228,2.925748
313,3.070479,3.495554,2.945055
314,3.070479,3.495554,2.945055
315,3.070479,3.495554,2.945055
316,3.056316,3.478989,2.940155
317,3.056316,3.478989,2.940155
318,3.052968,3.482881,2.916322
319,3.045926,3.494965,2.879167
320,3.047012,3.495472,2.884515
321,3.054899,3.488993,2.922441
322,3.057304,3.510156,2.920077
323,3.053922,3.508098,2.939664
324,3.038221,3.507289,2.920029
325,3.011075,3.491608,2.921534
326,3.006697,3.489168,2.9407
327,3.006697,3.489168,2.9407
328,3.015505,3.496496,2.95792
329,3.016976,3.490224,2.959256
330,3.035843,3.485519,2.971181
331,3.025723,3.481039,2.933995
332,3.022532,3.477602,2.912511
333,3.015326,3.475224,2.910616
334,3.031478,3.461736,2.911521
335,3.067591,3.510725,2.863012
336,3.068685,3.487116,2.900956
337,3.089854,3.526614,2.863269
338,3.085721,3.513661,2.905027
339,3.093998,3.529211,2.923379
340,3.100914,3.516803,2.892367
341,3.097812,3.523834,2.86602
342,3.094527,3.531278,2.838122
343,3.090189,3.529646,2.8602
344,3.1031,3.551381,2.865027
345,3.098894,3.550327,2.888636
346,3.107149,3.531672,2.844768
347,3.095878,3.526294,2.846992
348,3.095878,3.526294,2.846992
349,3.095878,3.526294,2.846992
350,3.155761,3.546933,2.778998
351,3.165966,3.558096,2.76323
352,3.144737,3.531791,2.767907
353,3.142906,3.540689,2.738827
354,3.142906,3.540689,2.738827
355,3.150841,3.539994,2.757791
356,3.14918,3.54912,2.728431
357,3.132856,3.560452,2.688462
358,3.132856,3.560452,2.688462
359,3.135851,3.547265,2.713513
360,3.137137,3.54931,2.67827
361,3.153876,3.550524,2.590782
362,3.141253,3.542661,2.666248
363,3.150811,3.558968,2.653332
364,3.125183,3.568174,2.625281
365,3.116638,3.58879,2.649106
366,3.110663,3.651299,2.674792
367,3.109019,3.662479,2.643641
368,3.156555,3.619618,2.645915
369,3.132745,3.612061,2.674868
370,3.133557,3.606844,2.737943
